feature,importance
feature_92,11.258535067192282
feature_524,6.118138995147853
feature_541,4.956909624070763
feature_148,4.933350838730364
feature_499,3.5368895056081313
feature_649,2.8989514762158954
feature_144,2.822338225959322
feature_904,2.6456595791266526
feature_525,2.5268584362194595
feature_919,2.315052201423701
feature_619,1.782177213750856
feature_396,1.368644033295663
feature_915,1.3065872774959404
feature_970,1.263836861025091
feature_391,1.2143438044097494
feature_526,1.1470752282235637
feature_161,1.1347855882530875
feature_463,1.0056846916094802
feature_437,0.9444197204643412
feature_1031,0.9054548615634765
feature_581,0.8569738954495705
feature_839,0.7943532077982953
feature_245,0.7849555830501286
feature_372,0.7510862229636545
feature_1036,0.7211807508273432
feature_145,0.6647394571330001
feature_905,0.6564684540530781
feature_440,0.6530107273891814
feature_852,0.6454926084285962
feature_134,0.6312975143930698
feature_293,0.630705430641686
feature_98,0.6120760864628918
feature_169,0.6093809271625472
feature_247,0.5839074905564471
feature_1188,0.560636345458464
feature_842,0.5507277902532369
feature_403,0.5292191598683272
feature_170,0.5259781680892686
feature_195,0.5171757809913767
feature_569,0.5151309289725408
feature_1041,0.510855726810753
feature_189,0.5081481147978316
feature_848,0.5061513926050294
feature_206,0.4891316613968227
feature_1069,0.4861826961006782
feature_1104,0.47609820231909167
feature_262,0.46978314358461115
feature_392,0.4665930916021618
feature_941,0.46220349072947164
feature_424,0.4603908616762872
feature_840,0.45790501688115515
feature_309,0.4362027720838027
feature_921,0.4114272231648559
feature_1092,0.3983819993548268
feature_339,0.39326865784729786
feature_1131,0.3877248331245209
feature_929,0.37093305859937653
feature_849,0.3702556608145945
feature_869,0.35043372862618105
feature_108,0.3471350256469866
feature_864,0.34628350496002824
feature_1051,0.34560947062822384
feature_379,0.3450720430265776
feature_836,0.3314407662382776
feature_118,0.33088868366696034
feature_926,0.323557367753524
feature_297,0.321019590032834
feature_782,0.31430125819995713
feature_971,0.2938701784751433
feature_1014,0.2917600226821051
feature_1055,0.2843901661846226
feature_994,0.2830953968387555
feature_1040,0.2811859021258451
feature_1043,0.2765481456651775
feature_190,0.26251048726988513
feature_1038,0.2591474421190218
feature_1028,0.2533912309055839
feature_266,0.25243061196753985
feature_120,0.2507666204894838
feature_176,0.2490223921126033
feature_401,0.2423126903744988
feature_875,0.2361689308516999
feature_180,0.22602090167673353
feature_1057,0.22194027220237422
feature_430,0.21927191354456949
feature_226,0.2118609302793824
feature_436,0.20927555719790203
feature_112,0.2068109229465224
feature_881,0.20653225713111403
feature_208,0.20396306489937108
feature_399,0.1968807119354967
feature_961,0.19676994405654008
feature_832,0.1929326874778355
feature_368,0.1929031644654567
feature_146,0.19271768927888466
feature_987,0.1892287268793401
feature_348,0.1891881907920149
feature_984,0.18852410240195347
feature_360,0.18831440807180475
feature_978,0.1866974921547932
feature_927,0.18408595493616692
feature_384,0.17963352245739397
feature_933,0.17893781859233013
feature_1113,0.1788799959429491
feature_165,0.17837606899036013
feature_1022,0.17814945650044917
feature_1012,0.17675097121345143
feature_150,0.17292149722811753
feature_250,0.17183164780194324
feature_1018,0.17015279462156055
feature_355,0.17008773779214045
feature_116,0.1666903793519762
feature_212,0.16267435388167426
feature_895,0.16232762670671086
feature_316,0.16060154140157026
feature_953,0.15755814357041065
feature_229,0.15587103480100556
feature_948,0.15572270782215092
feature_201,0.15275856582291678
feature_345,0.14903548586245305
feature_318,0.1482883404689671
feature_1037,0.14674273391517936
feature_209,0.14545467172986962
feature_258,0.1428055999160834
feature_191,0.14272282752118925
feature_957,0.14268657659279768
feature_121,0.14076914471675525
feature_1008,0.13627602243335188
feature_141,0.13553010798293846
feature_1045,0.13544300554067043
feature_131,0.13539031978249064
feature_1033,0.13536911946485686
feature_860,0.13060211516073345
feature_863,0.12567872124450882
feature_928,0.12389168155719059
feature_238,0.11800472743171922
feature_1047,0.1175251445018138
feature_1063,0.11749224957854208
feature_803,0.11118015082060939
feature_115,0.10958268582205971
feature_139,0.10931676549154175
feature_938,0.10805930308243489
feature_992,0.10700873872546875
feature_93,0.10529129011561775
feature_934,0.10422235120970018
feature_202,0.10215743762515439
feature_458,0.1018073766997284
feature_117,0.1012249575841691
feature_217,0.09875565605670626
feature_925,0.09820141909064022
feature_328,0.09737714197785227
feature_1091,0.09686570184785595
feature_883,0.09636411613474073
feature_945,0.0938048726817812
feature_128,0.09347867460266292
feature_260,0.0932164578267024
feature_162,0.09301920453329679
feature_924,0.08942743173118946
feature_432,0.08775903526174643
feature_968,0.08706035500718982
feature_1017,0.08672530109546606
feature_230,0.08594576195395827
feature_983,0.08592525905495602
feature_122,0.08340183980525132
feature_160,0.08266041976770128
feature_406,0.08254925815625577
feature_1078,0.07793508401982868
feature_388,0.0762036423527385
feature_1089,0.0758047731019517
feature_1003,0.07576738717871148
feature_908,0.07406486934799528
feature_1020,0.07392201152601564
feature_413,0.07390607519776686
feature_999,0.0724745032920192
feature_173,0.07069860097358542
feature_1099,0.07039814897434357
feature_320,0.06928072861384303
feature_942,0.06866201761219154
feature_374,0.06831913399720731
feature_963,0.06811110843902353
feature_975,0.06783428939241858
feature_185,0.06703187793294227
feature_341,0.06658556968068158
feature_847,0.06544156492702127
feature_958,0.06524311273176245
feature_876,0.0637948040718316
feature_887,0.0634060996750804
feature_240,0.0632324834621199
feature_168,0.06039225133406389
feature_870,0.059313929407372575
feature_174,0.05880273096746205
feature_464,0.0567116897548963
feature_1016,0.055814107855691714
feature_213,0.053769268773264094
feature_1067,0.053600067134667265
feature_1109,0.052781240893868125
feature_943,0.05152157984377886
feature_1048,0.05075325024877254
feature_991,0.050535833160105084
feature_261,0.049749515429888785
feature_873,0.049412112840190744
feature_882,0.04856042235505879
feature_1050,0.048493502504764904
feature_955,0.04832392091738888
feature_951,0.04769024346838002
feature_233,0.04766773810170031
feature_1058,0.047540501525048455
feature_1026,0.047178096814312495
feature_918,0.047044265338235594
feature_220,0.04586295134849815
feature_892,0.04509128134558667
feature_256,0.04427975358144543
feature_119,0.04368120346031112
feature_923,0.04342012736383844
feature_1029,0.04013068123482369
feature_982,0.03853635991938663
feature_909,0.034199247496636165
feature_311,0.033323034470890085
feature_304,0.032772690649577885
feature_228,0.0318502077725122
feature_253,0.031261687832268875
feature_268,0.031207665613245582
feature_205,0.030518760912744098
feature_997,0.030403252378131417
feature_912,0.03009834309049893
feature_110,0.029071385276173145
feature_270,0.02646923753994778
feature_313,0.02547013277173811
feature_1071,0.02526932334752698
feature_936,0.025121292702108992
feature_172,0.02441674406598646
feature_1103,0.024048801135874046
feature_152,0.023152838390093817
feature_175,0.022549199825979284
feature_166,0.022277269364953178
feature_591,0.020209286671365623
feature_288,0.020123899034732613
feature_976,0.020072770800261843
feature_102,0.019536347825911942
feature_854,0.018086434346561545
feature_163,0.01784196839093962
feature_252,0.017467127387025945
feature_164,0.01664616888282679
feature_305,0.015546531969658378
feature_216,0.015041085950542134
feature_845,0.014970550615351814
feature_218,0.014829274299348407
feature_1032,0.014316707326218172
feature_299,0.0131636873885957
feature_1042,0.012236525222267125
feature_837,0.011243908278397219
feature_901,0.010955682880886235
feature_227,0.01079596274949739
feature_838,0.010586287610719848
feature_97,0.009719695081653398
feature_855,0.009576271229179435
feature_132,0.00909655821982706
feature_879,0.008198297465288074
feature_200,0.007889185136293593
feature_1007,0.0069552209588380435
feature_897,0.006747229903759942
feature_244,0.006194583027746509
feature_998,0.005210360398441876
feature_910,0.005071420905477446
feature_856,0.004763057614905483
feature_125,0.004495063007544806
feature_862,0.004290743688980804
feature_973,0.004122719685649586
feature_960,0.003973050416005032
feature_932,0.0037900612964547687
feature_946,0.0034415555248686583
feature_939,0.0029655455620029047
feature_96,0.0028860376803181605
feature_302,0.0027381405660517897
feature_937,0.0026166281711789566
feature_1066,0.002552562694532937
feature_332,0.0025488615505788468
feature_427,0.0023549932587093353
feature_964,0.00193859457008047
feature_158,0.0016398000218767813
feature_197,0.001463713401391571
feature_182,0.0014035478049152642
feature_151,0.0013208015125407114
feature_940,0.0012514658061186963
feature_105,0.0011884868998873993
feature_239,0.0011178459659741244
feature_954,0.0008450781411574225
feature_1004,0.0007756193894926166
feature_969,0.0007626913044499477
feature_893,0.0005189549983700913
feature_1081,0.0004650823567525273
feature_315,0.00038642550611129537
feature_312,0.0002914006105102321
feature_853,0.00018264574597311818
feature_846,0.0001137620824233329
feature_277,3.8601974676409215e-05
feature_283,2.855274823594392e-05
feature_1090,1.1673564472860354e-05
feature_861,8.030972249421115e-06
feature_866,5.796717708331445e-06
feature_280,1.8906066085740683e-06
feature_911,1.3357520369516784e-06
feature_1060,4.466033038761757e-07
feature_989,3.8594560192900833e-07
feature_344,3.5420588601962506e-07
feature_366,0.0
feature_858,0.0
feature_1054,0.0
feature_95,0.0
feature_1110,0.0
feature_137,0.0
feature_400,0.0
feature_94,0.0
feature_129,0.0
feature_421,0.0
feature_99,0.0
feature_143,0.0
feature_1021,0.0
feature_113,0.0
feature_107,0.0
feature_154,0.0
feature_103,0.0
feature_106,0.0
feature_104,0.0
feature_880,0.0
feature_851,0.0
feature_1052,0.0
feature_142,0.0
feature_149,0.0
feature_1105,0.0
feature_211,0.0
feature_138,0.0
feature_1106,0.0
feature_114,0.0
feature_898,0.0
feature_358,0.0
feature_111,0.0
feature_183,0.0
feature_101,0.0
feature_124,0.0
feature_100,0.0
feature_340,0.0
feature_155,0.0
feature_1024,0.0
feature_916,0.0
feature_996,0.0
feature_222,0.0
feature_243,0.0
feature_906,0.0
feature_980,0.0
feature_1023,0.0
feature_1027,0.0
feature_235,0.0
feature_294,0.0
feature_327,0.0
feature_257,0.0
feature_248,0.0
feature_967,0.0
feature_232,0.0
feature_251,0.0
feature_962,0.0
feature_956,0.0
feature_1056,0.0
feature_271,0.0
feature_1010,0.0
feature_952,0.0
feature_977,0.0
feature_1025,0.0
feature_1034,0.0
feature_279,0.0
feature_1019,0.0
feature_246,0.0
feature_242,0.0
feature_296,0.0
feature_204,0.0
feature_289,0.0
feature_966,0.0
feature_877,0.0
feature_868,0.0
feature_307,0.0
feature_295,0.0
feature_267,0.0
feature_857,0.0
feature_291,0.0
feature_269,0.0
feature_275,0.0
feature_310,0.0
feature_965,0.0
feature_285,0.0
feature_329,0.0
feature_390,0.0
feature_1049,0.0
feature_281,0.0
feature_292,0.0
feature_990,0.0
feature_298,0.0
feature_301,0.0
feature_1064,0.0
feature_1013,0.0
feature_1059,0.0
feature_300,0.0
feature_1098,0.0
feature_215,0.0
feature_225,0.0
feature_1061,0.0
feature_214,0.0
feature_1111,0.0
feature_1011,0.0
feature_219,0.0
feature_321,0.0
feature_223,0.0
feature_1072,0.0
feature_1030,0.0
feature_284,0.0
feature_1073,0.0
feature_259,0.0
feature_1076,0.0
feature_272,0.0
feature_224,0.0
feature_1096,0.0
feature_1039,0.0
feature_993,0.0
feature_903,0.0
